# Downloaded 10/08/2018
# http://kronos.uchicago.edu/snax/
# All SNe with II in type
"name"	"type"	"Date Exploded (JD)"	"Coordinates"	"Distance (Mpc)"	"galaxy"	"redshift"	"redshiftErr"	"Observation Start Date (JD)"	"instrument"	"Age (days)"	"Flux (10^-13 erg cm^-2 s^-1)"	"isUpperBound"	"fluxErrL"	"fluxErrH"	"Energy Lower Bound (KeV)"	"Energy Upper Bound (KeV)"	"Luminosity (10^39 erg s^-1)"	"lumErrL"	"lumErrH"	"model"	"dateExplodedRef"	"redshiftRef"	"dateExplodedRef"	"coordsRef"	"distRef"	"dateObservedRef"	"fluxRef"	
SN 1998s	IIn	2450875.5	11 46 06.13 +47 28 55.4	17.0000000000	NGC 3877	0.0030200000	0.000010000000000	2451923.5	Chandra	1048	1.5	0	0.0	0.0	2.0	10.0	5.2	0	0	VMEKAL	2002ApJ...572..932P	2011yCat.2306....0A	2002ApJ...572..932P	2003yCat.2246....0C	1988ngc..book.....T	2002ApJ...572..932P	2002ApJ...572..932P	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.07	NGC 1313	0.001568		2450725.5	ROSAT HRI	7075	9.1	0	2.8	2.8	0.5	2.0	1.8	0.6	0.6	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2449884.5	ROSAT HRI	6234	12.1	0	3.6	3.6	0.5	2.0	2.4	0.7	0.7	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2448095.5	ROSAT PSPC	4445	8.3	0	3.4	3.4	0.5	2.0	1.6	0.7	0.7	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2448370.5	ROSAT PSPC	4720	7.8	0	1.6	1.6	0.5	2.0	1.5	0.3	0.3	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2448748.5	ROSAT HRI	5098	8.5	0	5.9	5.9	0.5	2.0	2	1	1	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2449753.5	ROSAT HRI	6103	12.4	0	4.2	4.2	0.5	2.0	2.5	0.8	0.8	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2449754.5	ROSAT HRI	6104	10.5	0	2.8	2.8	0.5	2.0	2.1	0.6	0.6	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2449823.5	ROSAT HRI	6173	10.4	0	3.0	3.0	0.5	2.0	2.1	0.6	0.6	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2449883.5	ROSAT HRI	6233	11.5	0	2.7	2.7	0.5	2.0	2.3	0.5	0.5	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
