# Time(day),log10(lum)
93.60864841924855,42.14478051948906
93.80544675836892,42.140109535479375
94.00204710559113,42.135363649328234
94.1989371611467,42.13049084267319
94.39573002457264,42.125593889029986
94.59257484170224,42.12091325712622
94.78926691346152,42.116136861305314
94.9861129250356,42.11120388824995
95.18262777804483,42.10615794530539
95.37958857086893,42.10099342117917
95.57628251299856,42.09602829800148
95.77311487179485,42.09085030438481
95.96970257202634,42.085437611908254
96.16671381276707,42.0799131366328
96.3632942711004,42.074405764697794
96.56013954772078,42.069222944213635
96.75688780582263,42.06426346039865
96.95346966577632,42.05937938132832
97.15022930119298,42.05455910639339
97.34723702688741,42.04983957365944
97.54401902573002,42.0453759358527
97.74055079193374,42.04141265040107
97.93739688105408,42.038129362419625
98.13403872248928,42.035355070580685
98.33088407665593,42.032911402698694
98.52780978383187,42.03066140812439
98.7245936958689,42.02851259010408
98.92121291346152,42.02649572923561
99.11808489147077,42.02458716195272
99.31491750373927,42.02270887016368
99.51164103846152,42.02089869715782
99.70837169586892,42.019295741042924
99.90510404309113,42.01784513902297
100.10176795165596,42.01648557729576
100.29866007781335,42.01515306858459
100.49545087063743,42.013788661656655
100.69212202920224,42.012367276074336
100.88878040304485,42.010930044291825
101.08571914378557,42.00867976562216
101.28250157202632,42.00552969779926
101.47904461022075,42.002548404384015
101.67598668198002,41.999761579502305
101.87257241577632,41.99713354064669
102.06938063336891,41.99403533719108
102.2660279111467,41.98956618110328
102.46291509980409,41.98527089584994
102.6595342722578,41.981380191324924
102.85661096785965,41.97786743845251
103.0530552271189,41.97471162904664
103.25016619702633,41.97179649392912
103.44683394702632,41.968590906019834
103.64366568776705,41.9645516896731
103.84022835443373,41.96066779765033
104.03688869586891,41.957051701260774
104.23390337179484,41.953730840099716
104.4306780998041,41.95069749648122
104.62739689147075,41.947863040947006
104.82404615883186,41.944711966645954
105.02095896670224,41.940960010395344
105.21745582086892,41.937341264757286
105.41450515304484,41.93391720719905
105.61095617966521,41.930713094635266
105.80777434285964,41.92770917640222
106.00473146670224,41.92491279673855
106.20139371207262,41.92153869129266
106.39816130235039,41.91796602208419
106.59477192156335,41.91454892579408
106.79169351994298,41.91127437898831
106.98835778035965,41.908156310874574
107.18528014957262,41.90517676899548
107.38206785211891,41.90168783224235
107.5788066599893,41.89806002564437
107.7756965361467,41.89456557735722
107.97245017387817,41.89123870481831
108.16898567503557,41.88807191150323
108.36576877804484,41.88473068296786
108.56273084054483,41.88105013006499
108.75938314725781,41.87747127471963
108.95618840535964,41.87402355159047
109.15304007897075,41.87063784122926
109.34957890767446,41.866771545851854
109.54649591809113,41.86280386183964
109.74333139957263,41.85886667422721
109.93982434517447,41.85454237218598
110.13664284054485,41.85004135248316
110.33332865304483,41.84566848434575
110.53023351762816,41.84146173718541
110.72683043313742,41.83744016323545
110.92360680582262,41.83353684284554
111.12028439610039,41.82979655771123
111.31732718892447,41.826205948653
111.51386179077633,41.82276636708897
111.71065085443372,41.819459751683226
111.90775015767447,41.81622743300618
112.10437398869298,41.81310162156196
112.3011090234152,41.810097679116375
112.49793729887817,41.80718008247037
112.69440316693371,41.80435003597168
112.89127952110039,41.80159783944573
113.08812122248928,41.79892569112858
113.28499676647075,41.79633652919749
113.48152390767447,41.79380146243822
113.67831332897077,41.791294787721725
113.87513897711891,41.78886906309462
114.0719809447115,41.78650474269931
114.26883225258187,41.784181908672686
114.46549681276706,41.78189055387046
114.66234382665594,41.77964407031562
114.85870189378556,41.77744337107188
115.05547612989668,41.77528165656247
115.2524351461004,41.773175808851356
115.44915792387818,41.77109581070222
115.64575360674854,41.76903491314243
115.84253736832261,41.76701513328086
116.03962681276705,41.76500991231015
116.2360850072115,41.76304243167556
116.43307239147077,41.76108483825505
116.62962979887817,41.75917649115656
116.82671986832261,41.757267242889235
117.0234946021189,41.75541830252239
117.21999220628558,41.75359794187148
117.41685858360039,41.751785844537565
117.61354420860039,41.74998980925993
117.81052109517448,41.748224349172
118.00691246091522,41.746466979538766
118.20391593313742,41.74474087641966
118.40079954424853,41.74302001082507
118.59760518082261,41.74132576756592
118.7943474609152,41.739640086147205
118.99068018082261,41.73798825532565
119.18769764610039,41.73631987554737
119.3843792896189,41.734672118557654
119.58119504193371,41.73306424629921
119.77823780813743,41.73144356400611
119.97481205582262,41.72988713485409
120.17175498406336,41.72830109841816
120.36834347943372,41.72673122964598
120.56516777341521,41.72517095225359
120.7615996484152,41.72362416996942
120.95855551647075,41.722109771642636
121.15536384980409,41.720583294715254
121.35183726415593,41.719077728899485
121.54863941693372,41.7175687392197
121.74557492619297,41.716067711554395
121.94236162758187,41.71458627942215
122.13890092156335,41.713120984172136
122.33568949795225,41.711675213628844
122.5327431785078,41.71022562787657
122.72961128035965,41.70876623849036
122.92603209054482,41.707350183256736
123.12324600258188,41.70589065404344
123.31950494934114,41.70447863787007
123.51651595628557,41.70308075369705
123.71320797017447,41.70167727197504
123.90991525026706,41.70028980852685
124.10674739147076,41.6988935630658
124.30366382665595,41.69752667411551
124.50049845628558,41.69615141676341
124.69692465998928,41.69479848475383
124.89397895397077,41.693415936145534
125.09068840998927,41.69208873546278
125.28712376878558,41.69072899581548
125.48424145397077,41.68939391027343
125.6809825535078,41.68806149759906
125.87752003035965,41.68673824509279
126.07421640767446,41.685408984808205
126.27111213684114,41.68408858230585
126.46798962526707,41.68277731245151
126.66445786600781,41.681497623466946
126.86126770397077,41.680173008589804
127.05795989147076,41.67888570173262
127.25478962526705,41.6776113855672
127.45162096785965,41.676291762916634
127.64861617619299,41.675005142427075
127.84512141924853,41.67373426958936
128.0420029933226,41.67248498395162
128.2387293822115,41.67122378006293
128.43561324795223,41.66994253998797
128.63201293545225,41.668681898344964
128.8290224146189,41.6674395745179
129.02593601415595,41.666192286456905
129.22234013452632,41.664925987205905
129.41922856045224,41.663692482745326
129.61607770397077,41.66242167347407
129.81259861832262,41.66118963875885
130.0094549724893,41.659974766946604
130.20650336369297,41.658754332738354
130.4034555048967,41.657521498302245
130.599953676193,41.65631424057805
130.79690993776705,41.65508451529371
130.99343815535966,41.65387631812031
131.19009175489668,41.65267613918506
131.38704034285965,41.651449121995356
131.5835441275819,41.65024405718938
131.7803851461004,41.64902201388515
131.97744081739668,41.64783968808871
132.17369367619298,41.64665279231957
132.3706375535078,41.64548004488877
132.56753846785966,41.64427577485323
132.76421422017447,41.64307881059715
132.9609050998041,41.641896985627035
133.15759636137818,41.64068951164678
133.35456829424854,41.63949936512219
133.55116775026707,41.638334290900076
133.74831842156337,41.63717076917571
133.94482726415595,41.63600154425385
134.14187462526704,41.63483284729764
134.3386101345263,41.63365103743841
134.53541843313744,41.632479182939825
134.732043051193,41.63131628304651
134.9283151461004,41.630187560614964
135.1254911298967,41.62901706288541
135.32186799332263,41.627831978899465
135.51915001878558,41.62669157528286
135.71559651184114,41.62556135737423
135.91220788915595,41.62440136863764
136.10899138452632,41.623240010645844
136.3061437572115,41.62208870711571
136.50279453267447,41.620969652748194
136.69928003035966,41.619840541517405
136.8964537572115,41.61867636560089
137.0931735720263,41.6175404158493
137.28984137295225,41.61640568345832
137.48659137295223,41.61526838036619
137.68328682434114,41.614147671932514
137.88019504193375,41.613009635685316
138.0767434447115,41.61187135249122
138.273531801193,41.610751321226566
138.47042057434115,41.6096113758722
138.66722585211892,41.608482951278326
138.86377832897077,41.60736517146396
139.06064775026707,41.60623350197258
139.2572308984152,41.60511935174215
139.45378115304484,41.60399499511655
139.65076448637816,41.60284596006446
139.84762570165594,41.60172205955874
140.04407547017448,41.60061926807885
140.24126431276707,41.599481904803554
140.43806799332262,41.59835745495407
140.63470874563743,41.59725370345417
140.8314491275819,41.59614108625805
141.02789073637817,41.59505216278559
141.22472055119297,41.59395656800845
141.4218112572115,41.59284676433776
141.61877560906336,41.59170867154359
141.81494301647078,41.590584732490726
142.01202543545224,41.589511500104045
142.2089447294337,41.58839858511978
142.40577404656335,41.587301438537025
142.6024859099893,41.58620570465493
142.79899191693372,41.585093595580496
142.9958624609152,41.584011977690096
143.19233645397077,41.582888475168986
143.38909094471148,41.581801784769475
143.58625325952633,41.58070457946454
143.7828201808226,41.5796209034231
143.97932574795223,41.57852233262172
144.1764926345263,41.57743068003161
144.3733479123041,41.57632101191482
144.56977117619297,41.5752409056571
144.76641590998926,41.574146939720876
144.9634175998041,41.573052485116506
145.16034606045224,41.57198876436071
145.35673387295225,41.57089410928489
145.5538813498041,41.56984158247625
145.75039320165595,41.56877080707308
145.94719106045224,41.567693962445055
146.14369027341522,41.56662757562841
146.34040077110038,41.565557947532184
146.53767198637817,41.564471298525056
146.73433575952632,41.563425742558486
146.93114968313742,41.56233821941114
147.12812276184113,41.561295638860706
147.32452766924854,41.560241246628536
147.52102408128556,41.55920411192112
147.7183044285078,41.55812087914522
147.91508981045226,41.557045967769376
148.11162668545225,41.55602039281362
148.3083195211004,41.554993060714324
148.50508699795225,41.553915622157234
148.70204587526706,41.55283923781939
148.89822110674854,41.55181081874513
149.0953721484152,41.550761326088285
149.29219901184112,41.54969886641929
149.4887807711004,41.548669390019874
149.68586945165595,41.54762840783359
149.88228923174853,41.5465713824103
150.07931273869298,41.54554805482157
150.27614382665595,41.5444800232832
150.47241550489667,41.54349038359807
150.66955632665594,41.542457014904166
150.8661384910078,41.54139083331785
151.06325301647075,41.54037488694093
151.25979592156335,41.5393383570562
151.4566272873041,41.5383074154753
151.65313702110038,41.537248341624874
151.85007737989667,41.536245114610786
152.04676765767448,41.535194015454536
152.24325467156336,41.53416297504697
152.4403437572115,41.53312236709138
152.63684365304485,41.53211441351296
152.83378756508188,41.531087692307786
153.03030358360039,41.53008330732924
153.22705850258185,41.52911070626596
153.42420579424854,41.528069423756534
153.6207604123041,41.527044237003985
153.81785266924854,41.52603604790176
154.01412832897077,41.52502388126524
154.21090118776706,41.524037938991256
154.40757867619297,41.52300131856056
154.6048392548967,41.521992143942974
154.8013155396189,41.52097818568563
154.998112113693,41.51995226026486
155.19485735674854,41.518956783317414
155.3916620673967,41.517980476244254
155.58846321323003,41.51695858590323
155.78503315535963,41.51593361193232
155.9817133984152,41.51493190222489
156.17875384980408,41.51393036206107
156.37560769239667,41.51292442119123
156.57239115304483,41.51196497367958
156.76919820165594,41.510934121770795
156.9661245211004,41.509898256257436
157.1625855396189,41.50896533022927
157.359505863693,41.50797112464452
157.55578062063742,41.50696840008398
157.75255753035964,41.505964573192585
157.94971124563742,41.50497993475979
158.14660172017446,41.50401151229071
158.3427704123041,41.50301960556045
158.53990468313742,41.501978261991525
158.73647065535965,41.50101962825669
158.93303757665595,41.500045333273206
159.1302315234152,41.49906118680114
159.32672258823,41.49809263562983
159.52379343313743,41.49708896029151
159.72065704424853,41.496144486641846
159.91705038915595,41.49513628044755
160.1139249146189,41.49416012195347
160.31071307434112,41.49323501160889
160.50736721785964,41.49222807698087
160.70441272711892,41.49127621872111
160.9008178544337,41.49029537828484
161.09761548174856,41.48930806916948
161.29432001878558,41.48831763012819
161.49112352573002,41.48737338467581
161.68819023869298,41.48640634514092
161.88493446323002,41.48548427509225
162.08153316693372,41.48450438929227
162.2782134447115,41.483535779798935
162.47527520397077,41.48257968908683
162.67168285443373,41.481625039551226
162.86868334054483,41.48067082831928
163.06551172017447,41.47969417722018
163.26226405813742,41.47872841996257
163.45848354887815,41.47778875906958
163.65520595628558,41.4768588518823
163.85219634980407,41.47589004666716
164.04931109517446,41.47493466930118
164.24578719471148,41.473986353809295
164.44290247248927,41.47306801775207
164.63919445165592,41.472132598945045
164.83583971785964,41.47118108783009
165.03254953267447,41.47024527488313
165.22959520397075,41.469326045782914
165.42639857202633,41.468388136222686
165.62293342156335,41.46743972506064
165.81977684748927,41.46650804914805
166.01667477573002,41.46559203547248
166.21326694008187,41.464650704778634
166.41062123406334,41.46369767173679
166.60674055119298,41.46280049758497
166.80412902341521,41.46183467914126
167.0007303197115,41.46091312866148
167.19752695165596,41.46001320634434
167.39401729887817,41.45905184909914
167.590514613693,41.45814292684424
167.78740239147078,41.45721756541234
167.9844170558226,41.45633155354664
168.1814175072115,41.45543528895125
168.37767694008187,41.45453037522389
168.57473617619297,41.45358503048938
168.77139881508188,41.45266578080098
168.96800542387817,41.4518014853935
169.16497859517446,41.45087758259925
169.3614266160078,41.449957842200746
169.55858261137817,41.44910343070095
169.75492584054481,41.44817632273051
169.95168191693372,41.44727732402683
170.1486336646189,41.446394676020944
170.34546386137816,41.44549989850951
170.5424466160078,41.44462634445614
170.7390078544337,41.44370977854103
170.93589867619298,41.44280808919473
171.13228477573003,41.44188018534111
171.32946391924852,41.441010040272026
171.5263972410078,41.440095218421185
171.72270528498927,41.43923064455836
171.91950185906336,41.43832536277068
172.11632644239668,41.43742103797829
172.31346683591522,41.436514225890846
172.5096450072115,41.435644608635485
172.7067078197115,41.43475900277445
172.90342351415595,41.43389057263267
173.10017095628558,41.432998840131056
173.2966366623041,41.43211294481238
173.4933559910078,41.431208106711104
173.69020312063742,41.43033592231871
173.88716352573002,41.42944689376253
174.08360751878558,41.42855050510354
174.28046815535964,41.42767540481201
174.47731878035964,41.42682722189198
174.67382856045222,41.425938320121816
174.87115448637817,41.42504508987066
175.06765881508187,41.42421765154224
175.26456497248927,41.423353496341825
175.46095307434112,41.42247898505389
175.65800092156334,41.42160400959963
175.85466477573001,41.42075404368748
176.05123766924854,41.419896895106405
176.2479142433226,41.41904058952454
176.44478412758187,41.41816710980058
176.64183001878558,41.417302335992275
176.838930551193,41.41642234643606
177.03508596785966,41.41560326051628
177.2323425998041,41.41474972177044
177.42878116461893,41.41390568549698
177.62558093313743,41.41303458158545
177.82231187063744,41.41219376570186
178.01932101415593,41.41135528785586
178.2161484562856,41.410516040056876
178.41234810906334,41.40967542714008
