# rest_wavelength	dust_corr_flux
3514.8931275366867	4.3909799388509977e-16
3516.6182924328014	5.807473262913472e-16
3518.3434573289155	8.460896988032086e-16
3520.0686222250297	9.41029554265293e-16
3521.793787121144	1.2654693826493926e-15
3523.518952017258	7.523334567898289e-16
3525.244116913372	6.564054427552738e-16
3526.9692818094863	8.817866254916951e-16
3528.6944467056005	6.346051011480418e-16
3530.4196116017147	4.30370186335928e-16
3532.1447764978293	2.9942380293448974e-16
3533.8699413939435	-8.784600446634917e-17
3535.5951062900576	7.765482320516259e-16
3537.320271186172	6.376168055718174e-16
3539.045436082286	3.7257246436239593e-16
3540.7706009784	6.702074668108905e-16
3542.4957658745143	8.915911482172317e-16
3544.2209307706285	4.919602783501432e-16
3545.9460956667426	2.636863514232685e-16
3547.671260562857	2.5465032103247964e-16
3549.3964254589714	3.841990818335656e-16
3551.1215903550856	7.619501012335465e-16
3552.8467552511997	7.013986421281809e-16
3554.571920147314	6.271892727243071e-16
3556.297085043428	5.174893450322238e-16
3558.0222499395422	6.177641889006188e-16
3559.7474148356564	6.294300443673955e-16
3561.4725797317706	8.302276578479529e-16
3563.1977446278847	6.072906464824969e-16
3564.922909523999	7.832541824484529e-16
3566.6480744201135	6.681503551576978e-16
3568.3732393162277	6.598757860841811e-16
3570.098404212342	6.256443959137036e-16
3571.823569108456	5.466910095050938e-16
3573.54873400457	4.706676539442042e-16
3575.2738989006843	4.790648325804162e-16
3576.9990637967985	9.057240056793374e-16
3578.7242286929127	9.153230416856193e-16
3580.449393589027	7.815929308215881e-16
3582.174558485141	7.458150202081903e-16
3583.8997233812556	6.885509588056936e-16
3585.62488827737	8.654767622987892e-16
3587.350053173484	5.741558670051823e-16
3589.075218069598	6.197661825440754e-16
3590.8003829657123	9.004020692526525e-16
3592.5255478618265	8.009387880964484e-16
3594.2507127579406	1.0624306372063941e-15
3595.975877654055	7.302409753404493e-16
3597.701042550169	9.92967772181784e-16
3599.4262074462836	9.504002558567672e-16
3601.1513723423977	5.476486525106368e-16
3602.876537238512	7.862325200522881e-16
3604.601702134626	7.322387709789726e-16
3606.3268670307402	6.526509756277333e-16
3608.0520319268544	7.268018230225826e-16
3609.7771968229686	9.362399441779308e-16
3611.5023617190827	9.084505531623096e-16
3613.227526615197	7.749724484247324e-16
3614.952691511311	8.915689782818923e-16
3616.6778564074257	5.414254857158387e-16
3618.40302130354	7.596000401023035e-16
3620.128186199654	7.066165554183873e-16
3621.853351095768	8.058838180733947e-16
3623.5785159918823	1.0360892009544436e-15
3625.3036808879965	8.167769566246441e-16
3627.0288457841107	2.197014061134966e-16
3628.754010680225	7.260584942858516e-16
3630.479175576339	9.191452357043716e-16
3632.204340472453	7.303850139532614e-16
3633.929505368568	2.552818635048637e-16
3635.654670264682	5.050586216557105e-16
3637.379835160796	5.572138864886555e-16
3639.1050000569103	5.771856886716065e-16
3640.8301649530245	7.680927894196545e-16
3642.5553298491386	7.761416083106676e-16
3644.280494745253	8.683491433695424e-16
3646.005659641367	7.486299403455579e-16
3647.730824537481	8.058134008297997e-16
3649.4559894335953	5.883989309435304e-16
3651.18115432971	3.6819211000459515e-16
3652.906319225824	7.258619386707007e-16
3654.6314841219382	4.201340006923198e-16
3656.3566490180524	5.830913979719624e-16
3658.0818139141666	6.323598156656048e-16
3659.8069788102807	9.875879626772475e-16
3661.532143706395	1.0349635654846382e-15
3663.257308602509	1.0963207361400098e-15
3664.982473498623	1.4356907187587466e-15
